streamer,nickname,class,level,experience,popularity
여백,사제여백,마법사 / 비숍,236,12137929949,3
김펭귄,망치왕김승민,전사 / 팔라딘,230,53871686381,10
김뿡,진우입술츄릅,레지스탕스 / 배틀메이지,230,51393636158,7
탬탬버린,라라점례,라라 / 라라,230,6312985285,100
피닉스박,박종우123,에반 / 에반,227,22681390829,44
삼식,도적삼식,도적 / 섀도어,227,14002183094,47
지누,로아수호대,칼리 / 칼리,224,34740809231,5
다주,핫다주,마법사 / 비숍,221,19093473009,65
마뫄,긴마뫄,기사단 / 윈드브레이커,212,2108888126,22
따효니,신궁을뒤집다,궁수 / 신궁,212,590211388,16
스나랑,반갑나랑,카인 / 카인,212,12312556,3
괴물쥐,카X9월출시,기사단 / 나이트워커,209,4888398280,19
한동숙,으뜸기사,기사단 / 미하일,209,1057741306,51
이초홍,뻑뻑초,엔젤릭버스터 / 엔젤릭버스터,200,883203980,4
