streamer,nickname,class,level,experience,popularity
여백,사제여백,마법사 / 비숍,245,131630010533,3
김뿡,진우입술츄릅,레지스탕스 / 배틀메이지,245,83862691191,12
피닉스박,박종우123,에반 / 에반,245,23381665869,88
김펭귄,망치왕김승민,전사 / 팔라딘,245,3751411561,15
끠끼,읍최미끼끼,엔젤릭버스터 / 엔젤릭버스터,239,2076578893,14
삼식,도적삼식,도적 / 섀도어,236,103288200597,58
김진우,로아수호대,칼리 / 칼리,236,74191686324,15
이초홍,뻑뻑초,엔젤릭버스터 / 엔젤릭버스터,236,55179427419,38
탬탬버린,라라점례,라라 / 라라,236,43170465188,123
다주,핫다주,마법사 / 비숍,233,83176173823,75
눈꽃,리부띠거주민,기사단 / 윈드브레이커,233,65924497464,2
마뫄,긴마뫄,기사단 / 윈드브레이커,230,63683218876,27
금사향,금옥분여사,칼리 / 칼리,230,58440611926,8
뇨롱,아이돌뇨롱이,엔젤릭버스터 / 엔젤릭버스터,230,22723875733,14
감블러,제트레이즈,기사단 / 소울마스터,230,10769625872,2
따효니,신궁을뒤집다,궁수 / 신궁,230,2962801783,25
스나랑,반갑나랑,카인 / 카인,224,17036920651,4
괴물쥐,DEX중독,레지스탕스 / 메카닉,221,5813048624,-50
견자희,견미옥여사,전사 / 팔라딘,218,14924701597,8
만득,만득아님,은월 / 은월,218,8364564045,3
임나은,임나움,마법사 / 비숍,218,3112094402,1
한동숙,으뜸기사,기사단 / 미하일,215,7719610539,52
삐부,삡이퍼,해적 / 바이퍼,212,588760286,3
망개,망뭉이해주께,라라 / 라라,209,1498899143,13
강지,잠꾸러기강지,궁수 / 패스파인더,194,1506288,18
이춘향,춘스터콜,"마법사 / 아크메이지(썬,콜)",170,59223738,21
쌍베,미시마쌍베,도적 / 듀얼블레이더,149,2177026,1
양아지,퍼리퍼리최고,라라 / 라라,101,590308,2
