streamer,nickname,class,level,experience,popularity
여백,사제여백,마법사 / 비숍,245,19974047912,3
김뿡,진우입술츄릅,레지스탕스 / 배틀메이지,242,40219075356,12
피닉스박,박종우123,에반 / 에반,242,10751404995,77
김펭귄,망치왕김승민,전사 / 팔라딘,239,21266063164,13
끠끼,읍최미끼끼,엔젤릭버스터 / 엔젤릭버스터,239,2076578893,13
김진우,로아수호대,칼리 / 칼리,236,55880773871,13
삼식,도적삼식,도적 / 섀도어,236,26755816291,53
이초홍,뻑뻑초,엔젤릭버스터 / 엔젤릭버스터,236,9048155153,29
탬탬버린,라라점례,라라 / 라라,233,15939904227,113
눈꽃,리부띠거주민,기사단 / 윈드브레이커,233,12912325339,2
다주,핫다주,마법사 / 비숍,233,9002820219,73
마뫄,긴마뫄,기사단 / 윈드브레이커,230,63683218876,27
금사향,금옥분여사,칼리 / 칼리,230,29090940857,8
감블러,제트레이즈,기사단 / 소울마스터,230,10769625872,2
뇨롱,아이돌뇨롱이,엔젤릭버스터 / 엔젤릭버스터,227,2423918598,8
따효니,신궁을뒤집다,궁수 / 신궁,227,1945723824,22
스나랑,반갑나랑,카인 / 카인,224,1141876605,4
견자희,견미옥여사,전사 / 팔라딘,218,14924701597,8
만득,만득아님,은월 / 은월,218,2166148170,3
한동숙,으뜸기사,기사단 / 미하일,215,6987478281,52
삐부,삡이퍼,해적 / 바이퍼,212,588760286,3
괴물쥐,DEX중독,레지스탕스 / 메카닉,212,150118806,-47
망개,망뭉이해주께,라라 / 라라,200,19077336,7
이춘향,춘스터콜,"마법사 / 아크메이지(썬,콜)",170,54987037,16
양아지,퍼리퍼리최고,라라 / 라라,101,590308,2
임나은,임나움,마법사 / 비숍,101,260166,0
