streamer,nickname,class,level,experience,popularity
김뿡,진우입술츄릅,레지스탕스 / 배틀메이지,248,148319184125,12
여백,사제여백,마법사 / 비숍,245,222957306724,3
피닉스박,박종우123,에반 / 에반,245,122449748006,96
김펭귄,망치왕김승민,전사 / 팔라딘,245,83383923791,16
김진우,로아수호대,칼리 / 칼리,242,1050480227,16
끠끼,읍최미끼끼,엔젤릭버스터 / 엔젤릭버스터,239,136352107284,18
삼식,도적삼식,도적 / 섀도어,239,68216469507,63
이초홍,뻑뻑초,엔젤릭버스터 / 엔젤릭버스터,239,5838273816,38
눈꽃,리부띠거주민,기사단 / 윈드브레이커,236,78027804594,2
탬탬버린,라라점례,라라 / 라라,236,67918544013,136
다주,핫다주,마법사 / 비숍,236,37955650847,79
따효니,신궁을뒤집다,궁수 / 신궁,233,38521196706,50
뇨롱,아이돌뇨롱이,엔젤릭버스터 / 엔젤릭버스터,233,1335588660,18
금사향,금옥분여사,칼리 / 칼리,233,104864341,8
마뫄,긴마뫄,기사단 / 윈드브레이커,230,63683218876,27
감블러,제트레이즈,기사단 / 소울마스터,230,33514212195,2
스나랑,반갑나랑,카인 / 카인,230,20318420156,4
임나은,임나움,마법사 / 비숍,224,12647912796,1
한동숙,으뜸기사,기사단 / 미하일,224,8377143155,67
괴물쥐,DEX중독,레지스탕스 / 메카닉,221,24420000741,-58
만득,만득아님,은월 / 은월,221,21227670772,4
견자희,견미옥여사,전사 / 팔라딘,218,14924701597,8
삐부,삡이퍼,해적 / 바이퍼,215,1319018382,3
망개,망뭉이해주께,라라 / 라라,215,45819167,16
쌍베,미시마쌍베,도적 / 듀얼블레이더,203,335376340,4
강지,잠꾸러기강지,궁수 / 패스파인더,200,1699004056,19
이춘향,춘스터콜,"마법사 / 아크메이지(썬,콜)",170,59223738,21
양아지,퍼리퍼리최고,라라 / 라라,101,590308,2
